,yaw_0,yaw_1,yaw_2,yaw_3,yaw_4,yaw_5,yaw_6,yaw_7,yaw_8,yaw_9,yaw_10,yaw_11,yaw_12,yaw_13,yaw_14,yaw_15,yaw_16,yaw_17,yaw_18,yaw_19,yaw_20,yaw_21,yaw_22,yaw_23,yaw_24,yaw_25,yaw_26,yaw_27,yaw_28,yaw_29,pitch_0,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,pitch_12,pitch_13,pitch_14,pitch_15,pitch_16,pitch_17,pitch_18,pitch_19,pitch_20,pitch_21,pitch_22,pitch_23,pitch_24,pitch_25,pitch_26,pitch_27,pitch_28,pitch_29,row_0,row_1,row_2,row_3,row_4,row_5,row_6,row_7,row_8,row_9,row_10,row_11,row_12,row_13,row_14,row_15,row_16,row_17,row_18,row_19,row_20,row_21,row_22,row_23,row_24,row_25,row_26,row_27,row_28,row_29,gesture
0,-171.77,-171.7,-171.39,-171.14,-171.14,-171.82,-173.7,-174.86,-177.06,-179.14,177.04,173.14,166.83,163.07,157.6,155.18,152.56,151.66,151.06,151.22,151.82,152.86,154.46,155.89,157.85,159.45,161.68,163.71,166.64,169.13,42.4,42.47,42.68,42.94,44.1,45.32,44.89,44.52,43.95,43.53,41.86,39.26,34.43,30.7,25.17,21.81,17.29,14.58,11.23,8.77,6.18,4.29,2.4,1.21,0.1,-0.63,-1.11,-1.33,-1.51,-1.65,-155.48,-155.39,-155.09,-154.72,-154.74,-155.35,-157.29,-158.7,-161.67,-164.4,-168.79,-175.37,172.66,164.74,151.77,143.89,133.54,127.63,120.64,115.3,109.38,105.06,98.43,93.2,85.9,81.05,75.5,71.79,67.88,64.2,left
1,-175.58,-175.61,-176.25,-176.65,-179.84,178.73,172.83,170.45,165.47,164.42,162.85,162.74,162.8,162.95,164.34,164.94,167.36,168.12,170.89,172.07,175.51,176.65,-179.62,-178.27,-174.55,-173.11,-169.84,-168.93,-166.24,-165.18,56.22,56.29,56.81,56.89,56.03,55.33,51.25,49.06,40.97,37.75,29.62,27.66,21.11,19.03,13.66,12.2,6.9,5.29,0.94,-0.5,-3.58,-4.41,-6.19,-6.22,-6.25,-6.37,-5.74,-5.26,-4.39,-4.19,-169.18,-169.17,-169.66,-170.04,-174.23,-176.06,175.14,170.4,158.16,154.27,145.62,144.16,137.34,134.78,129.15,127.73,122.03,119.57,112.77,110.5,103.36,101.1,94.41,92.16,86.65,84.69,79.7,77.99,74.55,73.79,left
2,-134.95,-134.95,-135.22,-136.48,-137.61,-140.0,-142.55,-147.05,-150.67,-158.77,-167.12,-176.47,177.18,169.79,165.21,159.18,155.1,150.16,147.22,144.16,143.34,143.43,144.0,144.95,145.68,146.56,146.95,147.62,148.2,149.02,54.21,54.15,53.97,53.43,53.79,53.9,53.61,53.6,53.52,52.73,51.74,50.03,47.91,44.98,42.77,39.08,36.39,33.13,30.03,26.47,24.04,21.87,19.41,16.91,15.58,12.61,11.04,10.02,9.67,9.82,-129.02,-128.93,-129.08,-129.61,-130.46,-132.44,-135.24,-139.85,-143.82,-152.72,-161.79,-171.96,-179.81,170.3,163.67,153.42,146.12,137.77,132.0,125.35,121.19,117.82,113.48,108.81,105.95,98.34,93.46,89.21,85.86,82.67,left
3,173.87,173.82,173.58,173.39,171.42,170.48,167.64,166.9,163.86,162.96,160.8,160.0,158.7,158.56,159.17,159.45,159.99,160.41,162.26,163.06,165.54,166.41,168.69,169.36,171.78,172.52,174.87,175.68,178.46,179.53,53.5,53.53,53.83,53.93,54.46,54.38,52.72,52.14,48.4,47.0,41.77,39.73,32.42,30.29,24.1,22.29,17.08,14.96,9.78,8.22,4.2,2.93,0.03,-0.77,-2.89,-3.41,-4.61,-4.85,-5.28,-5.49,179.4,179.39,179.33,179.26,177.75,176.68,173.3,172.4,166.74,164.73,159.17,157.35,149.48,146.71,141.86,140.46,135.26,132.65,126.32,124.1,117.62,115.71,109.77,107.78,102.65,101.22,97.17,95.48,91.11,88.96,left
4,-173.73,-173.85,-174.02,-174.34,-174.9,-175.41,-176.46,-177.52,-179.4,178.55,174.86,170.7,165.6,161.92,157.7,155.05,152.53,151.36,151.46,152.58,154.92,156.65,159.24,160.66,162.87,164.03,165.91,167.12,168.67,169.96,42.0,42.04,42.22,42.72,44.43,45.81,46.18,46.04,45.62,44.94,43.54,41.5,37.57,34.09,29.45,25.06,19.29,15.64,10.9,8.02,5.22,3.91,2.91,2.64,2.59,2.9,3.89,4.67,5.42,5.82,-147.69,-147.77,-147.82,-147.74,-146.68,-147.04,-148.81,-149.48,-151.79,-154.42,-159.75,-166.56,-177.05,174.95,163.96,154.48,142.53,135.19,126.8,121.44,114.08,109.05,101.15,96.5,89.43,84.85,76.74,71.53,66.48,63.97,left
5,-100.1,-99.08,-98.4,-96.62,-95.66,-93.42,-92.58,-88.23,-86.29,-88.69,-100.5,-141.33,-158.72,175.11,167.18,159.51,158.07,156.42,156.28,156.96,157.84,162.7,166.12,172.99,177.09,-173.83,-169.94,-161.42,-157.89,-148.66,47.66,48.02,48.24,48.83,49.2,50.89,52.52,57.81,61.71,67.71,69.55,69.53,66.32,54.59,47.59,35.3,30.85,22.21,18.37,11.06,8.01,0.34,-2.26,-6.79,-8.91,-12.08,-12.41,-11.5,-10.47,-5.28,-131.92,-130.73,-129.84,-127.75,-126.6,-124.23,-123.35,-120.79,-121.03,-125.06,-135.29,-172.17,172.93,152.08,146.29,143.64,144.09,145.51,146.92,149.99,151.21,153.89,154.56,154.11,153.7,151.16,149.82,145.73,143.72,137.82,left
6,-155.49,-155.26,-155.76,-157.36,-160.17,-166.8,-174.35,173.38,166.08,157.34,152.17,145.82,142.01,137.71,134.67,131.76,130.55,129.51,129.28,129.56,130.04,130.79,131.65,133.18,134.16,135.96,137.36,139.21,140.77,142.93,55.59,56.24,56.52,56.87,56.7,56.39,55.67,53.67,51.27,47.46,44.68,40.54,37.08,32.09,27.92,22.66,18.88,14.94,12.22,8.47,5.65,0.96,-2.44,-6.87,-9.21,-11.7,-13.83,-16.52,-17.8,-19.24,-126.75,-126.96,-127.76,-129.37,-131.53,-137.01,-143.29,-154.78,-161.89,-171.09,-177.08,174.61,169.48,162.3,156.59,149.08,144.46,139.89,136.91,133.27,130.68,125.8,122.79,118.39,115.79,112.51,108.78,105.4,103.8,100.1,left
7,-152.66,-152.58,-152.97,-155.44,-160.75,-166.46,-176.34,176.12,166.06,158.67,150.89,146.09,141.01,138.88,136.55,135.66,134.43,133.9,133.9,134.1,134.93,135.89,137.67,139.13,141.31,142.56,144.98,146.84,149.8,152.06,56.32,56.11,55.79,55.93,55.93,55.91,55.29,54.16,51.35,48.14,43.43,39.54,33.9,30.22,25.06,21.66,16.62,12.99,7.79,4.35,-1.03,-4.13,-8.43,-11.09,-13.73,-15.72,-18.42,-19.3,-19.58,-19.99,-124.77,-124.46,-124.08,-126.71,-131.88,-137.36,-147.24,-155.22,-166.37,-175.11,174.66,167.84,160.08,156.76,151.58,148.33,143.23,139.23,133.88,129.96,124.31,121.1,116.39,113.17,110.21,108.01,104.27,103.16,102.04,101.21,left
8,-133.96,-135.19,-136.94,-140.12,-143.16,-146.41,-149.44,-154.71,-158.47,-163.87,-167.43,-172.26,-175.35,178.36,174.89,170.29,166.86,163.31,160.86,158.5,156.89,155.62,154.99,154.65,154.49,154.76,155.21,157.0,158.23,160.07,53.34,52.69,52.38,52.05,51.4,51.17,50.58,49.23,48.22,46.22,44.6,42.2,40.45,37.65,35.73,32.62,30.22,26.93,23.89,20.48,17.86,14.19,11.46,8.22,6.34,4.02,2.43,0.29,-0.5,-1.29,-138.01,-138.7,-139.83,-142.73,-146.29,-150.06,-153.91,-159.03,-163.7,-170.8,-175.05,178.54,174.75,166.06,160.77,153.87,148.76,143.43,138.85,133.86,130.09,124.31,120.21,114.74,111.09,105.86,101.44,96.16,94.12,90.34,left
9,-122.96,-122.95,-123.54,-124.35,-125.19,-126.13,-126.89,-128.78,-130.71,-137.06,-142.6,-151.82,-157.68,-165.92,-170.79,-177.59,177.41,172.63,168.72,164.11,161.5,159.41,158.01,155.87,154.51,153.45,153.25,153.34,153.52,154.1,47.28,47.14,46.99,47.33,47.42,47.24,47.16,47.39,47.42,47.07,47.17,47.41,47.02,45.78,44.67,42.17,39.67,36.53,34.02,30.29,27.5,24.61,22.22,18.64,16.47,13.73,12.45,11.21,10.25,9.1,-124.44,-123.82,-123.77,-123.72,-124.24,-125.63,-127.04,-129.56,-132.23,-139.62,-145.83,-156.74,-164.09,-174.23,179.49,170.64,164.52,157.85,152.1,144.25,139.49,134.59,130.57,124.23,119.8,114.02,111.1,107.6,104.91,102.5,left
