,timestamp,yaw,pitch,row
0,0.037,-172.12,32.10,-137.98
1,66.69999999999999,-171.83,32.86,-138.13
2,161.339,-171.98,33.64,-139.42
3,244.522,-170.14,35.88,-139.32
4,260.38,-168.75,37.72,-139.42
5,328.551,-167.82,43.14,-139.13
6,392.37,-170.87,44.13,-140.94
7,461.733,-177.44,45.98,-145.96
8,520.52,179.49,44.76,-147.53
9,592.817,173.21,39.88,-148.96
10,657.836,170.64,37.20,-149.13
11,745.939,164.64,29.53,-150.04
12,785.091,163.09,26.08,-149.68
13,858.488,161.08,16.10,-146.40
14,919.467,160.52,11.16,-145.40
15,1005.2209999999999,160.52,0.71,-145.04
16,1052.807,161.02,-3.56,-145.37
17,1119.401,163.06,-10.74,-148.93
18,1210.989,164.38,-13.65,-150.58
19,1269.986,169.18,-18.46,-155.08
20,1309.895,172.70,-19.71,-158.20
21,1379.238,-178.67,-18.73,-166.06
22,1453.212,-174.54,-16.18,-169.99
23,1534.33,-165.76,-7.19,-174.89
24,1573.213,-163.53,-2.49,-175.44
25,1649.884,-161.01,6.34,-174.14
26,1709.9569999999999,-160.31,10.21,-173.06
27,1797.511,-159.26,17.34,-165.84
28,1847.6399999999999,-158.87,20.10,-163.93
29,1914.4699999999998,-158.90,23.40,-160.85
