,timestamp,yaw,pitch,row
0,0.033,-150.31,54.16,-148.74
1,61.985,-150.85,54.21,-149.30
2,134.805,-151.41,54.26,-149.65
3,197.123,-151.69,54.17,-149.59
4,269.013,-153.03,54.33,-150.61
5,334.441,-153.35,54.08,-150.14
6,403.734,-155.53,53.67,-152.65
7,471.78,-158.59,52.74,-156.98
8,538.809,-164.77,51.32,-164.58
9,604.9069999999999,-170.61,50.16,-171.38
10,674.55,-179.75,48.04,177.71
11,740.164,174.09,46.16,169.41
12,813.243,167.55,42.77,160.61
13,878.529,163.15,39.93,154.32
14,950.406,159.23,36.11,147.47
15,1015.9480000000001,157.14,33.49,143.35
16,1085.3919999999998,154.11,29.85,137.52
17,1153.317,151.88,27.41,133.35
18,1221.748,149.37,23.93,127.91
19,1287.907,147.31,21.39,123.54
20,1360.164,144.99,17.20,117.29
21,1424.391,144.31,14.32,113.76
22,1495.222,143.70,10.18,109.48
23,1563.285,143.70,7.98,106.22
24,1631.07,143.99,5.03,101.64
25,1698.38,144.38,3.04,98.31
26,1767.4240000000002,145.17,0.45,92.73
27,1833.0,146.18,-0.65,90.48
28,1902.381,147.97,-2.30,87.02
29,1968.821,149.25,-3.10,84.95
