,timestamp,yaw,pitch,row
0,0.04,-165.58,47.79,-125.74
1,67.66,-164.65,48.12,-124.94
2,133.768,-163.85,48.30,-123.76
3,203.146,-165.47,49.34,-123.22
4,269.071,-169.30,50.44,-124.76
5,341.096,-177.79,51.28,-128.90
6,405.478,174.55,50.83,-133.50
7,475.208,162.57,47.77,-140.30
8,572.375,154.64,44.46,-145.33
9,609.769,145.57,38.15,-151.98
10,675.71,141.47,32.65,-156.00
11,749.899,139.84,26.30,-159.60
12,809.327,141.16,22.76,-161.65
13,878.816,145.81,18.97,-163.57
14,944.569,149.57,17.30,-163.38
15,1014.084,152.96,17.29,-163.47
16,1083.633,153.96,21.09,-164.87
17,1181.8580000000002,154.54,30.15,-167.13
18,1214.1660000000002,154.99,37.77,-168.00
19,1287.3410000000001,156.15,49.22,-168.08
20,1353.06,157.74,57.21,-166.92
21,1451.2050000000002,161.57,67.82,-164.12
22,1484.0310000000002,167.54,74.98,-158.94
23,1557.943,-171.85,82.64,-139.16
24,1626.4940000000001,-118.93,85.05,-86.81
25,1694.698,-69.82,81.51,-38.20
26,1756.9779999999998,-62.77,77.92,-29.92
27,1835.014,-58.58,74.20,-25.18
28,1895.4679999999998,-55.69,71.68,-22.16
29,1967.0890000000002,-53.24,68.50,-19.39
