,timestamp,yaw,pitch,row
0,0.034999999999999996,162.87,44.64,-167.53
1,66.444,164.45,45.03,-166.05
2,133.97,162.90,47.68,-170.23
3,201.183,158.23,49.85,-178.91
4,269.814,143.77,51.81,157.45
5,336.475,134.36,50.91,142.29
6,404.317,123.03,47.29,122.38
7,471.298,117.74,43.37,111.67
8,539.4290000000001,114.22,37.29,101.34
9,606.42,112.83,33.24,95.97
10,675.668,111.75,28.53,90.09
11,742.122,110.32,25.57,86.66
12,811.966,108.83,22.84,84.99
13,880.0310000000001,107.60,21.48,84.75
14,950.256,106.44,19.00,83.39
15,1017.755,106.08,17.82,81.13
16,1090.208,105.11,17.31,82.70
17,1157.256,105.07,16.20,82.98
18,1222.225,104.51,14.92,83.32
19,1289.4099999999999,104.32,14.50,83.91
20,1360.1680000000001,103.89,15.13,84.89
21,1426.1090000000002,104.16,18.20,88.00
22,1495.209,105.38,23.91,98.74
23,1562.718,106.66,28.20,106.96
24,1630.645,110.09,36.37,122.67
25,1695.4119999999998,115.68,42.52,137.14
26,1776.2849999999999,126.02,49.03,157.67
27,1833.6129999999998,136.58,51.63,174.71
28,1900.741,151.17,51.63,-164.98
29,1973.244,159.75,49.29,-153.80
