,timestamp,yaw,pitch,row
0,0.038,-175.81,45.34,-130.88
1,74.972,-175.29,44.28,-129.33
2,134.042,-174.74,43.80,-127.78
3,207.394,-172.66,43.78,-125.67
4,269.13100000000003,-170.81,44.34,-124.12
5,341.123,-171.08,46.11,-123.63
6,425.967,-174.05,48.03,-125.16
7,501.45399999999995,174.88,49.67,-131.70
8,537.9580000000001,164.13,48.85,-138.80
9,611.5930000000001,148.15,44.75,-150.38
10,683.121,139.57,39.71,-155.80
11,742.094,132.21,31.11,-160.88
12,809.582,130.76,24.73,-162.52
13,874.3389999999999,133.69,19.83,-164.59
14,944.85,137.55,19.02,-165.94
15,1018.618,143.56,18.47,-166.36
16,1079.3410000000001,146.92,18.14,-166.29
17,1154.741,148.43,17.38,-166.73
18,1215.165,148.65,17.06,-166.76
19,1286.659,148.98,18.60,-165.79
20,1355.633,148.70,21.87,-165.87
21,1423.254,148.73,30.59,-166.29
22,1490.404,148.98,38.71,-166.85
23,1559.829,150.86,52.02,-165.84
24,1626.486,153.52,62.95,-164.45
25,1694.165,163.59,78.72,-156.09
26,1760.6960000000001,-109.12,87.33,-70.46
27,1829.279,-37.47,76.14,-1.71
28,1908.339,-35.31,69.59,-0.32
29,1962.435,-34.79,63.63,0.73
