,timestamp,yaw,pitch,row
0,0.038,153.09,5.52,-162.88
1,67.05999999999999,153.65,5.38,-162.74
2,137.368,154.07,5.06,-162.73
3,205.144,154.92,4.72,-162.69
4,269.839,157.20,4.64,-162.48
5,334.396,158.83,5.30,-162.43
6,405.649,157.37,5.81,-162.40
7,472.001,154.65,6.24,-162.40
8,540.49,148.95,5.43,-161.53
9,620.771,144.69,4.51,-160.47
10,674.7840000000001,140.14,2.98,-159.58
11,738.4810000000001,138.42,0.80,-158.80
12,809.534,138.74,-1.15,-158.08
13,877.338,140.60,-2.76,-158.26
14,945.74,146.32,-4.94,-157.68
15,1010.3610000000001,152.26,-5.94,-157.38
16,1080.3609999999999,160.75,-6.74,-158.10
17,1165.697,167.33,-7.22,-159.02
18,1235.184,176.63,-5.88,-160.33
19,1305.565,-178.64,-4.27,-160.95
20,1348.569,-174.37,-1.38,-161.79
21,1409.996,-173.58,0.64,-161.30
22,1483.001,-176.28,2.20,-161.10
23,1549.546,179.69,3.41,-160.58
24,1625.175,171.77,4.13,-161.68
25,1684.16,166.20,4.60,-161.52
26,1753.527,159.72,4.83,-161.58
27,1820.451,155.48,4.84,-160.91
28,1890.536,151.43,4.71,-159.85
29,1954.826,149.30,4.32,-159.38
